t,book_no,page_right,page_eff,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
2.8342783000000003,1,46,False,144,0,0,0,0,0,1,0,0,0,-2.125,8,-14.125,False,False,0,3
2.9835202,1,46,False,145,0,0,0,0,0,0,0,0,0,-2.1875,8.1875,-14.1875,False,False,0,3
3.2058814,1,46,False,146,0,0,0,0,0,0,0,0,0,-2.125,8,-14.1875,False,False,0,3
3.2188504,1,46,False,147,0,0,0,0,0,0,0,0,0,-2.25,7.5625,-13.9375,False,False,0,3
3.2212258,1,46,False,148,0,0,0,0,0,0,0,0,0,-3.75,8,-12.9375,False,False,0,3
3.2238719,1,46,False,149,0,0,0,0,0,0,0,0,0,-3.0625,7.875,-13.5,False,False,0,3
3.3164858000000006,1,46,False,150,0,0,0,0,0,0,0,0,0,-1.1875,8.875,-13.25,False,False,0,3
3.3187239,1,46,False,151,0,0,0,0,0,0,0,0,0,-0.0625,9.25,-14.4375,False,False,0,3
3.321232,1,46,False,152,0,0,0,0,0,0,0,0,0,0.5,9.4375,-14.375,False,False,0,3
3.3235755000000005,1,46,False,153,0,0,0,0,0,0,0,0,0,1.625,9.3125,-14.5,False,False,0,3
3.4109523,1,46,False,154,0,0,0,0,0,0,0,0,0,1.75,9.1875,-13.5,False,False,0,3
3.413106,1,46,False,155,0,0,0,0,0,0,0,0,0,0.6875,11.375,-15.1875,False,False,0,3
3.4577605,1,46,False,156,0,0,0,0,0,0,0,0,0,-1.625,8.9375,-10.3125,False,False,0,3
3.5991324000000002,1,46,False,157,0,0,0,0,0,0,0,0,0,4.6875,6.375,-14.125,False,False,0,3
3.6015357000000003,1,46,False,158,0,0,0,0,0,0,0,0,0,0.9375,2.25,-13.875,False,False,0,3
3.6038016000000006,1,46,False,159,0,0,0,0,0,0,0,0,0,1.9375,4.125,-10.1875,False,True,0,3
3.7019184000000003,1,46,False,160,0,0,0,0,0,0,0,0,0,3.25,13.6875,-9.25,False,True,0,3
3.8180945,1,46,False,161,0,0,0,0,0,0,0,0,0,3.8125,15.6875,-12.4375,False,True,0,3
3.8207407,1,46,False,162,0,0,0,0,0,0,0,0,0,3.125,14.0625,-13.4375,False,True,0,3
3.8231600000000006,1,46,False,163,0,0,0,0,0,0,0,0,0,4.8125,18.4375,-14.75,True,True,0,3
3.9170762999999997,1,46,False,164,0,0,0,0,0,2,0,0,0,0.8125,6.75,-12.6875,False,True,0,3
3.9198884000000005,1,46,False,165,0,0,0,0,0,0,0,0,0,1.5,7.5625,-10.25,False,True,0,3
4.0209804,1,46,False,166,0,0,0,0,0,0,0,0,0,-0.5625,20.375,-14.125,False,True,0,3
4.0230836000000005,1,46,False,167,0,0,0,0,0,0,0,0,0,4.6875,14,-5,False,True,0,3
