t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
21.9754642,0,1,0.0,201,0,0,0,0,0,0,1.27,33.42,77.5,-1.75,9.75,-13.6875,False,False,0,2
22.0236846,0,1,3.24,202,0,0,0,0,0,6,1.13,33.3,77.46,-1.9375,9.25,-13.875,False,False,0,2
22.0724922,0,1,3.24,203,0,0,0,0,0,0,1.04,32.99,77.56,-1.6875,8.9375,-13.0625,False,False,0,2
22.123566,0,1,3.24,204,0,0,0,0,0,0,0.83,32.96,77.66,-1.375,9.4375,-12.6875,False,False,0,2
22.1659396,0,1,3.24,205,0,0,0,0,0,0,0.48,33.29,77.65,-1.4375,9.9375,-13.5625,True,False,0,2
22.2172323,0,1,3.24,206,0,0,0,0,0,0,0.08,33.51,77.65,-1.3125,9.875,-13.8125,False,False,0,2
22.3238757,0,1,3.24,207,0,0,0,0,0,0,-0.2,33.6,77.79,-1.0625,9.8125,-13.0625,False,False,0,2
22.3257666,0,1,3.24,208,0,0,0,0,0,0,-0.25,33.76,77.88,-1.0625,10.1875,-13.25,False,False,0,2
22.3689951,0,1,3.24,209,0,0,0,0,0,0,-0.12,33.82,77.88,-1.5,10.25,-14.0625,False,False,0,2
22.415868,0,1,3.24,210,0,0,0,0,0,0,0.1,33.49,78.09,-2,9.9375,-13.6875,False,False,0,2
22.4598872,0,1,3.24,211,0,0,0,0,0,0,0.48,32.9,78.78,-2.375,10.125,-12.9375,False,False,0,2
22.5064036,0,1,0.0,212,0,0,0,0,4,0,1.29,32.3,79.79,-2.125,9.875,-13.375,False,False,0,2
22.5652706,0,1,0.0,213,0,0,0,0,0,0,2.2,31.69,80.85,-2.0625,9.4375,-13.9375,False,False,0,2
22.6164749,0,1,0.0,214,0,0,0,0,0,0,2.7,30.96,81.86,-2.125,8.9375,-13.0625,False,False,0,2
22.668649,0,1,0.0,215,0,0,0,0,0,0,3.02,30.41,82.56,-2.4375,9,-13.25,False,False,0,2
22.8566767,0,1,0.0,216,0,0,0,0,0,0,3.13,30.12,83.04,-2.4375,8.9375,-13.875,False,False,0,2
22.8589738,0,1,1.44,217,0,0,0,0,0,4,3.02,29.82,83.38,-2.375,8.5625,-14.125,False,False,0,2
22.8614486,0,1,1.44,218,0,0,0,0,0,0,2.83,29.5,83.54,-2.375,8.625,-13.3125,False,False,0,2
22.9574367,0,1,1.44,219,0,0,0,0,0,0,2.68,29.47,83.52,-2.375,8.75,-13.6875,False,False,0,2
