t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
2.4911478,0,1,0.36,134,0,0,0,0,0,2,0,0,0,-3.125,5.625,-15,False,False,0,2
2.5441944,0,1,0.36,135,0,0,0,0,0,0,0,0,0,-3.3125,5.6875,-15.0625,False,False,0,2
2.6056194,0,1,0.36,136,0,0,0,0,0,0,0,0,0,-3.375,5.75,-15.125,False,False,0,2
2.710723,0,1,0.36,137,0,0,0,0,0,0,0,0,0,-3.1875,5.75,-15.125,False,False,0,2
2.7130823,0,1,0.36,138,0,0,0,0,0,0,0,0,0,-3.1875,5.75,-15.1875,False,False,0,2
2.8166637,0,1,0.41,139,0,0,0,1,0,1,0,0,0,-3.0625,5.75,-15.3125,False,False,0,2
2.8188464,0,1,0.41,140,0,0,0,0,0,0,0,0,0,-3,5.6875,-15.25,False,False,0,2
2.9191351,0,1,0.41,141,0,0,0,0,0,0,0,0,0,-2.9375,5.6875,-15.1875,False,False,0,2
2.9214891,0,1,0.41,142,0,0,0,0,0,0,0,0,0,-2.875,5.5625,-15.125,False,False,0,2
2.9817695,0,1,0.41,143,0,0,0,0,0,0,0,0,0,-2.625,5.5625,-15.0625,False,False,0,2
3.0765968,0,1,0.09,144,100,36,0,0,0,0,0,0,0,-2.25,5.5625,-14.9375,False,False,0,2
3.0791298,0,1,0.09,145,0,0,0,0,0,0,0,0,0,-2.5,5.8125,-15.25,False,False,0,2
3.1226932,0,1,0.09,146,0,0,0,0,0,0,0,0,0,-3.125,6,-15.3125,False,False,0,2
3.1707706,0,1,0.09,147,0,0,0,0,0,0,0,0,0,-3.3125,6.125,-15.1875,False,False,0,2
3.2348711,0,1,0.09,148,0,0,0,0,0,0,0,0,0,-3.25,5.9375,-15.1875,False,False,0,2
3.3244053,0,1,0.0,149,0,0,0,0,2,0,0,0,0,-3.0625,6.0625,-15.0625,False,False,0,2
3.3261381,0,1,0.0,150,0,0,0,0,0,0,0,0,0,-2.8125,6.0625,-15.0625,False,False,0,2
3.3728328,0,1,0.0,151,0,0,0,0,0,0,0,0,0,-2.9375,6.0625,-15.125,False,False,0,2
