t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
7.7394318,0,1,0.0,252,0,0,0,0,0,0,0,0,0,-2.9375,8.3125,-13.9375,False,False,0,2
7.8211932,0,1,0.0,253,0,0,0,0,0,0,0,0,0,-2.9375,8.375,-13.9375,False,False,0,2
7.8693578,0,1,0.0,254,0,0,0,0,0,0,0,0,0,-2.8125,8.375,-13.9375,False,False,0,2
7.9174004,0,1,0.0,255,0,0,0,0,0,0,0,0,0,-2.75,8.3125,-13.875,False,False,0,2
7.9760457,0,1,0.0,0,0,0,0,0,0,0,0,0,0,-2.875,8.375,-13.9375,False,False,0,2
8.0722085,0,1,0.0,1,0,0,0,0,0,0,0,0,0,-2.8125,8.375,-13.875,False,False,0,2
8.0744352,0,1,0.0,2,0,0,0,0,0,0,0,0,0,-2.75,8.375,-14,False,False,0,2
8.1201313,0,1,0.0,3,0,0,0,0,0,0,0,0,0,-2.875,8.3125,-14,False,False,0,2
8.167352,0,1,0.0,4,0,0,0,0,0,0,0,0,0,-3.0625,8.25,-14.0625,False,False,0,2
8.2171487,0,1,0.0,5,0,0,0,0,0,0,0,0,0,-2.875,8.25,-13.9375,False,False,0,2
8.268698,0,1,0.0,6,0,0,0,0,0,0,0,0,0,-2.8125,8.1875,-13.9375,False,False,0,2
8.3387176,0,1,0.0,7,0,0,0,0,0,0,0,0,0,-2.75,8.125,-14.0625,False,False,0,2
8.383247,0,1,0.0,8,0,0,0,0,0,0,0,0,0,-2.875,8.1875,-14.0625,False,False,0,2
8.430946,0,1,0.0,9,0,0,0,0,0,0,0,0,0,-3.125,8.125,-14.125,False,False,0,2
8.4915723,0,1,0.0,10,0,0,0,0,0,0,0,0,0,-3.375,8.125,-14.25,False,False,0,2
8.5874209,0,1,0.0,11,0,0,0,0,0,0,0,0,0,-3.1875,8.0625,-14.3125,False,False,0,2
8.5897788,0,1,0.0,12,0,0,0,0,0,0,0,0,0,-3.0625,7.875,-14.25,False,False,0,2
8.6349092,0,1,0.0,13,0,0,0,0,0,0,0,0,0,-3.1875,7.875,-14.4375,False,False,0,2
8.6818301,0,1,0.0,14,0,0,2,0,0,0,0,0,0,-2.8125,7.5,-14.3125,False,False,0,2
8.7270542,0,1,0.0,15,0,0,0,0,0,0,0,0,0,-2.75,7.5,-14.4375,False,False,0,2
8.7740205,0,1,0.0,16,0,0,0,0,0,0,0,0,0,-2.75,7.375,-14.6875,False,False,0,2
8.8189456,0,1,0.0,17,0,0,0,0,0,0,0,0,0,-2.5,7,-14.6875,False,False,0,2
8.8673473,0,1,0.0,18,0,0,0,0,0,0,0,0,0,-2,6.625,-14.875,False,False,0,2
