t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
2.0184484,0,1,0.0,107,0,0,0,0,0,0,4.67,27.09,149.39,-3.9375,8.4375,-14.5625,False,False,0,2
2.1006387,0,1,0.0,108,0,0,0,0,0,0,6.14,26.14,152.51,-2.625,7.9375,-14.375,False,False,0,2
2.2016352,0,1,0.36,109,0,0,0,0,0,2,7.59,25.09,155.39,-3,7.625,-14.25,False,False,0,2
2.2038646,0,1,0.36,110,0,0,0,0,0,0,8.61,24.1,157.66,-3.6875,7.25,-14.4375,False,False,0,2
2.2465862,0,1,0.36,111,0,0,0,0,0,0,9.23,23.14,159.53,-4.1875,7,-14.5,False,False,0,2
2.2953338,0,1,0.36,112,0,0,0,0,0,0,9.54,22.22,161.1,-4.4375,6.875,-14.6875,False,False,0,2
2.3416417,0,1,0.36,113,0,0,0,0,0,0,9.45,21.34,162.47,-4.4375,6.5625,-15.0625,False,False,0,2
2.4005195,0,1,2.41,114,0,0,0,0,0,5,9.04,20.36,163.6,-4.375,6.0625,-14.875,False,False,0,2
2.4476279,0,1,2.41,115,0,0,0,0,0,0,8.46,19.35,164.54,-4.4375,5.6875,-14.8125,False,False,0,2
2.5206249,0,1,2.41,116,0,0,0,0,0,0,7.84,18.49,165.48,-4,5.5625,-14.75,False,False,0,2
2.6089571,0,1,2.41,117,0,0,0,0,0,0,7.13,17.86,166.44,-3.5,5.4375,-14.9375,False,False,0,2
2.6106159,0,1,2.41,118,0,0,0,0,0,0,6.27,17.45,167.35,-2.9375,5.3125,-14.9375,False,False,0,2
2.6507717,0,1,3.29,119,0,0,0,0,0,4,5.29,17.27,168.11,-2.4375,5.3125,-15.125,False,False,0,2
2.7139999,0,1,3.29,120,0,0,0,0,0,0,4.16,17.25,168.74,-1.875,5.25,-15.25,False,False,0,2
2.8124311,0,1,3.29,121,0,0,0,0,0,0,3,17.33,169.23,-1.4375,5.25,-15.375,False,False,0,2
2.8149814,0,1,3.29,122,0,0,0,0,0,0,1.9,17.5,169.56,-1.125,5.375,-15.5,False,False,0,2
2.9186132,0,1,3.29,123,0,0,0,0,0,0,0.94,17.72,169.78,-0.9375,5.5,-15.6875,False,False,0,2
2.9206709,0,1,3.29,124,0,0,0,0,2,0,0.23,17.89,169.86,-0.875,5.5625,-15.625,False,False,0,2
3.0210748,0,1,1.44,125,0,0,0,0,0,0,-0.23,18.02,169.88,-1.0625,5.5625,-15.6875,False,False,0,2
3.0225436,0,1,1.44,126,0,0,0,0,0,0,-0.5,18.09,169.93,-1.1875,5.5625,-15.625,False,False,0,2
3.0637838,0,1,1.44,127,0,0,0,0,0,0,-0.59,18.11,170.02,-1.375,5.5625,-15.5625,False,False,0,2
3.1133534,0,1,1.44,128,0,0,0,0,0,0,-0.59,18.15,170.1,-1.5,5.5625,-15.5,False,False,0,2
3.1580513,0,1,1.44,129,0,0,0,0,0,0,-0.58,18.19,170.08,-1.6875,5.5625,-15.5625,False,False,0,2
3.204518,0,1,0.0,130,0,0,0,0,0,0,-0.63,18.21,170,-1.875,5.625,-15.5,False,False,0,2
3.2523963,0,1,0.0,131,0,0,0,0,0,0,-0.7,18.24,169.94,-1.9375,5.75,-15.5,False,False,0,2
3.2999409,0,1,0.0,132,0,0,0,0,0,0,-0.77,18.26,169.98,-1.9375,5.6875,-15.5,False,False,0,2
3.3425706,0,1,0.0,133,0,0,0,0,0,0,-0.78,18.26,170.05,-1.875,5.75,-15.5,False,False,0,2
3.3901411,0,1,0.0,134,0,0,0,0,3,0,-0.77,18.23,170.1,-1.875,5.75,-15.5625,False,False,0,2
3.4459552,0,1,0.0,135,0,0,0,0,0,0,-0.74,18.15,170.17,-2,5.75,-15.5625,False,False,0,2
3.521003,0,1,0.0,136,0,0,0,0,0,0,-0.73,18.06,170.26,-1.9375,5.625,-15.375,False,False,0,2
3.5230555,0,1,0.0,137,0,0,0,0,0,0,-0.74,17.95,170.37,-2,5.625,-15.4375,False,False,0,2
3.6388954,0,1,0.0,138,0,0,0,0,0,0,-0.82,17.89,170.51,-1.875,5.625,-15.4375,False,False,0,2
3.640922,0,1,0.0,139,0,0,0,0,0,0,-0.96,17.91,170.62,-1.75,5.6875,-15.375,False,False,0,2
3.6856434,0,1,0.0,140,0,0,0,0,0,0,-1.14,17.91,170.66,-1.6875,5.75,-15.5,False,False,0,2
3.7480526,0,1,0.0,141,0,0,0,0,0,0,4.43,19.42,170.54,-1.75,5.8125,-15.6875,False,False,0,2
3.7928872,0,1,0.0,142,0,0,0,0,0,0,4.48,19.44,170.46,-1.875,5.8125,-15.6875,False,False,0,2
3.8409475,0,1,0.0,143,0,0,0,0,0,0,4.63,19.37,170.39,-2,5.625,-15.5625,False,False,0,2
3.8947603,0,1,0.36,144,0,0,0,0,0,2,4.81,19.26,170.38,-2,5.5,-15.25,False,False,0,2
4.0042911,0,1,0.36,145,0,0,0,0,0,0,4.89,19.23,170.39,-1.875,5.625,-15.3125,False,False,0,2
4.0060095,0,1,0.36,146,0,0,0,0,0,0,4.79,19.3,170.38,-1.875,5.75,-15.4375,False,False,0,2
4.1126297,0,1,0.36,147,0,0,0,0,0,0,4.67,19.41,170.38,-1.8125,5.75,-15.5625,False,False,0,2
4.1142679,0,1,0.36,148,0,0,0,0,0,0,4.63,19.49,170.38,-1.8125,5.8125,-15.6875,False,False,0,2
4.2228146,0,1,0.36,149,0,0,0,0,0,0,4.72,19.46,170.33,-2.0625,5.6875,-15.6875,False,False,0,2
4.225054,0,1,0.36,150,0,0,0,0,0,0,4.85,19.33,170.27,-2.125,5.5625,-15.5,False,False,0,2
4.2731433,0,1,0.36,151,0,0,0,0,0,0,4.92,19.19,170.3,-1.9375,5.4375,-15.1875,False,False,0,2
4.275084,0,1,0.36,152,0,0,0,0,0,0,4.86,19.16,170.34,-1.875,5.5625,-15.3125,False,False,0,2
4.3468141,0,1,0.36,153,0,0,0,0,0,0,4.75,19.25,170.33,-1.875,5.75,-15.5,False,False,0,2
