t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
1.9019303,0,1,0.0,205,0,0,0,0,0,0,-11.22,16.95,173.06,-1.625,7.6875,-15,False,False,0,2
1.9484362,0,1,0.0,206,0,0,0,0,0,0,-11.39,16.86,173.26,-1.9375,7.5625,-15.375,False,False,0,2
2.0134322,0,1,0.0,207,0,0,0,0,0,0,-11.53,16.55,173.8,-2.125,7.4375,-14.75,False,False,0,2
2.0554907,0,1,0.0,208,0,0,0,0,0,0,-11.68,16.27,174.82,-2.0625,7.5625,-14.5625,False,False,0,2
2.103949,0,1,0.0,209,0,0,0,0,0,0,-11.72,16.12,176.26,-2.1875,7.375,-15.375,False,False,0,2
2.1670026,0,1,0.0,210,0,0,0,0,0,0,-11.74,15.76,178.09,-1.6875,6.9375,-15.125,False,False,0,2
2.2150636,0,1,0.0,211,0,0,0,0,0,0,-11.76,15.35,179.91,-1.5,6.6875,-14.375,False,False,0,2
2.2630169,0,1,0.0,212,0,0,0,0,0,0,-11.74,15.17,181.42,-1.8125,6.625,-14.625,False,False,0,2
2.3139934,0,1,0.0,213,0,0,0,0,0,0,-11.76,15.2,182.68,-2,6.3125,-15.25,False,False,0,2
2.36843,0,1,0.0,214,0,0,0,0,0,0,-11.95,15.26,183.88,-1.8125,6.125,-15.1875,False,False,0,2
2.4675532,0,1,0.0,215,0,0,0,0,0,0,-12.29,15.41,185.05,-1.5,6.3125,-14.8125,False,False,0,2
2.5148934,0,1,0.0,216,0,0,0,0,0,0,-12.61,15.77,186.06,-1.3125,6.375,-15.3125,False,False,0,2
2.516625,0,1,0.0,217,0,0,0,0,0,0,-12.98,16.08,186.87,-1.3125,6.3125,-15.4375,False,False,0,2
2.5626088,0,1,0.0,218,0,0,0,0,0,0,-13.47,16.3,187.61,-1.125,6.375,-15,False,False,0,2
2.6166048,0,1,0.09,219,0,0,0,0,0,1,-14.03,16.64,188.39,-0.875,6.5625,-15.125,False,False,0,2
2.7253846,0,1,0.09,220,0,0,0,0,0,0,-14.52,16.98,189.09,-0.625,6.4375,-15.5,False,False,0,2
2.7275266,0,1,0.09,221,0,0,0,0,0,0,-14.92,17.13,189.61,-0.6875,6.375,-15.25,False,False,0,2
2.8435239,0,1,0.09,222,0,0,0,0,0,0,-15.27,17.27,190.06,-0.875,6.625,-14.875,False,False,0,2
2.8453307,0,1,0.09,223,0,0,0,0,0,0,-15.4,17.55,190.38,-0.9375,6.8125,-15.125,False,False,0,2
2.847058,0,1,0.09,224,0,0,0,3,1,0,-15.47,17.82,190.62,-1.0625,6.75,-15.6875,False,False,0,2
2.9179773,0,1,0.09,225,0,0,0,0,0,0,-15.53,17.91,190.8,-0.9375,6.625,-14.8125,False,False,0,2
2.969542,0,1,0.09,226,0,0,0,0,0,0,-15.52,18.03,190.85,-1.1875,6.875,-14.9375,False,False,0,2
3.0151653,0,1,0.09,227,0,0,0,0,0,0,-15.44,18.13,190.7,-1.5625,6.875,-15.375,False,False,0,2
