t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
3.7453942,0,1,0.0,25,0,0,0,0,0,0,0,0,0,-3.3125,5.4375,-15.25,False,False,0,2
3.9339044,0,1,0.36,26,0,0,0,0,0,2,0,0,0,-3.5625,5.375,-15.1875,False,False,0,2
3.9799767,0,1,0.36,27,0,0,0,0,0,0,0,0,0,-3.625,5.3125,-15.3125,False,False,0,2
3.9915069,0,1,0.36,28,0,0,0,0,0,0,0,0,0,-3.5,5.125,-15.25,False,False,0,2
3.9931567,0,1,0.36,29,0,0,0,0,0,0,0,0,0,-3.1875,4.9375,-15.375,False,False,0,2
4.0277442,0,1,0.36,30,0,0,0,0,0,0,0,0,0,-2.8125,4.8125,-15.375,False,False,0,2
4.1575045,0,1,0.64,31,0,0,4,0,0,2,0,0,0,-2.5625,4.6875,-15.4375,False,False,0,2
4.1598948,0,1,0.64,32,0,0,0,0,0,0,0,0,0,-2.375,4.5,-15.5,False,False,0,2
4.1615201,0,1,0.64,33,0,0,0,0,0,0,0,0,0,-2.0625,4.4375,-15.625,False,False,0,2
4.3258931,0,1,0.64,34,0,0,0,0,0,0,0,0,0,-2.0625,4.5,-15.75,False,False,0,2
4.3286423,0,1,0.64,35,0,0,0,0,0,0,0,0,0,-1.9375,4.5,-15.6875,False,False,0,2
4.3304907,0,1,0.36,36,0,0,0,0,0,0,0,0,0,-1.875,4.4375,-15.5625,False,False,0,2
4.4927186,0,1,0.36,37,0,0,0,0,0,0,0,0,0,-1.75,4.4375,-15.625,False,False,0,2
4.4950858,0,1,0.36,38,0,0,0,0,0,0,0,0,0,-1.8125,4.5625,-15.5625,False,False,0,2
4.4970702,0,1,0.36,39,0,0,0,0,0,0,0,0,0,-2,4.6875,-15.625,False,False,0,2
4.6371909,0,1,0.36,40,0,0,0,0,0,0,0,0,0,-2.1875,4.9375,-15.8125,False,False,0,2
4.6396233,0,1,0.0,41,0,0,0,0,0,0,0,0,0,-2.25,4.875,-15.75,False,False,0,2
4.6412642,0,1,0.0,42,0,0,0,0,0,0,0,0,0,-2.25,4.75,-15.6875,False,False,0,2
4.7690407,0,1,0.0,43,0,0,0,0,0,0,0,0,0,-2.25,4.8125,-15.6875,False,False,0,2
4.7716778,0,1,0.0,44,0,0,0,0,0,0,0,0,0,-2.375,4.75,-15.625,False,False,0,2
4.7736784,0,1,0.0,45,0,0,0,0,0,0,0,0,0,-2.375,4.6875,-15.5,False,False,0,2
4.9376427,0,1,0.0,46,0,0,0,5,3,0,0,0,0,-2.3125,4.75,-15.75,False,False,0,2
4.9398627,0,1,0.0,47,0,0,0,0,0,0,0,0,0,-2.375,4.75,-15.625,False,False,0,2
4.9417624,0,1,0.0,48,0,0,0,0,0,0,0,0,0,-2.375,4.625,-15.6875,False,False,0,2
5.1040565,0,1,0.0,49,0,0,0,0,0,0,0,0,0,-2.375,4.5625,-15.6875,False,False,0,2
5.1060248,0,1,0.0,50,0,0,0,0,0,0,0,0,0,-2.375,4.5625,-15.75,False,False,0,2
5.1079888,0,1,0.09,51,0,0,0,0,0,1,0,0,0,-2.3125,4.5,-15.625,False,False,0,2
5.1096445,0,1,0.09,52,0,0,0,0,0,0,0,0,0,-2.4375,4.4375,-15.625,False,False,0,2
5.28109,0,1,0.09,53,0,0,0,0,0,0,0,0,0,-2.375,4.4375,-15.625,False,False,0,2
5.2836248,0,1,0.09,54,0,0,0,0,0,0,0,0,0,-2.3125,4.5,-15.6875,False,False,0,2
5.2854946,0,1,0.09,55,0,0,0,0,0,0,0,0,0,-2.375,4.5,-15.625,False,False,0,2
5.448534,0,1,0.09,56,0,0,0,0,0,0,0,0,0,-2.25,4.5625,-15.625,False,False,0,2
5.4502216,0,1,0.09,57,0,0,0,0,0,0,0,0,0,-2.3125,4.625,-15.75,False,False,0,2
5.4521426,0,1,0.09,58,0,0,0,0,0,0,0,0,0,-2.375,4.6875,-15.6875,False,False,0,2
5.4919118,0,1,0.09,59,0,0,0,0,0,0,0,0,0,-2.375,4.75,-15.6875,False,False,0,2
5.5399741,0,1,0.09,60,0,0,0,0,0,0,0,0,0,-2.3125,4.75,-15.625,False,False,0,2
5.6661291,0,1,0.0,61,0,0,0,0,0,0,0,0,0,-2.3125,4.6875,-15.6875,False,False,0,2
5.6685332,0,1,0.0,62,0,0,0,0,0,0,0,0,0,-2.3125,4.625,-15.625,False,False,0,2
5.6700793,0,1,0.0,63,0,0,0,0,0,0,0,0,0,-2.3125,4.625,-15.5625,False,False,0,2
5.7276429,0,1,0.0,64,0,0,0,0,0,0,0,0,0,-2.1875,4.625,-15.75,False,False,0,2
5.8949668,0,1,0.0,65,0,0,0,0,0,0,0,0,0,-2.1875,4.625,-15.5625,False,False,0,2
5.897228,0,1,0.0,66,0,0,0,0,1,0,0,0,0,-2.1875,4.625,-15.625,False,False,0,2
5.8989572,0,1,0.0,67,0,0,0,0,0,0,0,0,0,-2.625,4.6875,-15.625,False,False,0,2
6.0213073,0,1,0.0,68,0,0,0,0,0,0,0,0,0,-2.625,4.625,-15.8125,False,False,0,2
6.0234868,0,1,0.0,69,0,0,0,0,0,0,0,0,0,-2.625,4.6875,-15.6875,False,False,0,2
6.0253775,0,1,0.0,70,0,0,0,0,0,0,0,0,0,-2.75,4.75,-15.5625,False,False,0,2
6.0735335,0,1,0.36,71,0,0,0,0,0,2,0,0,0,-2.875,4.6875,-15.75,False,False,0,2
6.1190954,0,1,0.36,72,0,0,0,0,0,0,0,0,0,-2.8125,4.625,-15.6875,False,False,0,2
6.2561919,0,1,0.36,73,0,0,0,0,0,0,0,0,0,-2.625,4.625,-15.6875,False,False,0,2
6.2582607,0,1,0.36,74,0,0,0,0,0,0,0,0,0,-2.5,4.5625,-15.5,False,False,0,2
6.4117812,0,1,0.36,75,0,0,0,0,0,0,0,0,0,-2.1875,4.6875,-15.5625,False,False,0,2
6.4143268,0,1,0.36,76,320,88,0,0,0,0,0,0,0,-1.625,4.75,-15.6875,False,False,0,2
6.4165727,0,1,0.36,77,0,0,0,0,0,0,0,0,0,-1.375,4.8125,-15.625,False,False,0,2
6.4184315,0,1,0.36,78,0,0,0,0,0,0,0,0,0,-1.25,4.875,-15.75,False,False,0,2
6.5796376,0,1,0.36,79,0,0,0,0,0,0,0,0,0,-1.3125,5.0625,-15.75,False,False,0,2
6.5910462,0,1,0.36,80,0,0,0,0,0,0,0,0,0,-1.25,5.125,-15.75,False,False,0,2
6.5927121,0,1,0.0,81,0,0,0,3,0,0,0,0,0,-1.1875,5.125,-15.625,False,False,0,2
6.7466647,0,1,0.0,82,0,0,0,0,0,0,0,0,0,-1.0625,4.75,-16,False,False,0,2
