t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
2.5906402,0,1,0.0,243,0,0,0,0,0,0,5.72,28.9,119.77,-2.375,8.25,-14.6875,False,False,0,2
2.7478706,0,1,0.0,244,0,0,0,0,0,0,5.84,28.74,119.93,-2.4375,8.125,-14.5,False,False,0,2
2.76049,0,1,0.0,245,0,0,0,0,0,0,5.91,28.52,120.3,-2.25,8.1875,-14.125,False,False,0,2
2.7622445,0,1,0.0,246,0,0,0,0,0,0,5.92,28.35,120.74,-2.5,8.1875,-14.5,False,False,0,2
2.8388145,0,1,0.0,247,0,0,0,0,0,0,5.98,28,121.31,-2.8125,8.0625,-14.75,False,False,0,2
2.9716476,0,1,0.0,248,0,0,0,0,0,0,6.11,27.41,122.24,-3.0625,7.9375,-14.5625,False,False,0,2
2.9740891,0,1,0.0,249,0,0,0,0,0,0,6.23,26.65,123.68,-3.125,8,-14.8125,False,False,0,2
2.9756025,0,1,0.0,250,0,0,0,0,0,0,6.24,25.6,125.57,-2.0625,7.5,-14.6875,False,False,0,2
3.1391115,0,1,0.0,251,0,0,0,0,0,0,6.12,24.59,127.41,-1.5,7.0625,-14.5625,False,False,0,2
3.1410544,0,1,0.0,252,0,0,0,0,0,0,5.77,23.81,128.98,-1.6875,7,-14.625,False,False,0,2
3.1427611,0,1,0.0,253,0,0,0,0,0,0,5.3,23.25,130.32,-1.75,6.6875,-15,False,False,0,2
3.1822388,0,1,0.0,254,0,0,0,0,0,0,4.83,22.67,131.56,-2,6.5,-15.3125,False,False,0,2
3.2302386,0,1,0.0,255,0,0,0,0,0,0,4.41,22.06,132.83,-1.875,6.4375,-14.875,False,False,0,2
3.2321947,0,1,0.0,0,0,0,0,0,0,0,4.14,21.63,134.02,-1.8125,6.25,-14.9375,False,False,0,2
3.356006,0,1,0.0,1,0,0,0,0,0,0,3.98,21.33,135.11,-1.6875,6.0625,-15.3125,False,False,0,2
3.3575373,0,1,0.0,2,0,0,0,0,0,0,3.82,21.06,136.13,-1.75,6.125,-15.0625,False,False,0,2
3.4026593,0,1,0.0,3,0,0,0,0,0,0,3.62,20.91,137.1,-1.4375,6.25,-14.9375,False,False,0,2
3.4586367,0,1,0.0,4,0,0,0,0,0,0,3.39,20.98,137.87,-1.0625,6.25,-15.4375,False,False,0,2
3.5858753,0,1,0.0,5,0,0,0,0,0,0,3.08,21.02,138.39,-1,6.1875,-15.5,False,False,0,2
3.5878508,0,1,0.0,6,0,0,0,0,0,0,2.72,20.95,138.75,-1,6.25,-15.125,False,False,0,2
3.7535811,0,1,0.0,7,0,0,0,0,0,0,2.45,21,138.98,-1.0625,6.3125,-15.25,False,False,0,2
3.7558222,0,1,0.0,8,0,0,0,0,0,0,2.28,21.11,139.11,-1.1875,6.3125,-15.375,False,False,0,2
3.7578437,0,1,0.0,9,0,0,0,0,0,0,2.12,21.17,139.3,-1.25,6.375,-15.0625,False,False,0,2
3.759751,0,1,0.0,10,0,0,0,0,0,0,1.97,21.28,139.54,-1.0625,6.5,-15.1875,False,False,0,2
3.8664179,0,1,0.0,11,0,0,0,0,0,0,1.84,21.48,139.67,-1.1875,6.75,-15.4375,False,False,0,2
3.8681868,0,1,0.0,12,0,0,0,0,0,0,1.68,21.6,139.75,-1.25,6.5,-15.4375,False,False,0,2
3.9151231,0,1,0.0,13,0,0,0,0,0,0,1.55,21.65,139.83,-1.1875,6.625,-14.8125,False,False,0,2
3.9630628,0,1,0.0,14,0,0,0,0,0,0,1.43,21.81,139.83,-1.3125,6.875,-15.1875,False,False,0,2
4.0973189,0,1,0.0,15,0,0,0,0,0,0,1.29,21.96,139.75,-1.5,6.875,-15.5625,False,False,0,2
4.0996751,0,1,0.0,16,0,0,0,0,0,0,1.18,21.93,139.77,-1.375,6.75,-15,False,False,0,2
4.1012802,0,1,0.0,17,0,0,0,0,0,0,1.13,21.9,139.85,-1.1875,6.8125,-14.875,False,False,0,2
4.1385623,0,1,0.0,18,0,0,0,0,0,0,1.06,21.98,139.79,-1.375,6.9375,-15.4375,False,False,0,2
4.3025157,0,1,0.0,19,0,0,0,0,0,0,0.93,21.95,139.68,-1.6875,6.6875,-15.375,False,False,0,2
4.3042736,0,1,0.0,20,0,0,0,0,0,0,2.7,23.03,139.73,-1.3125,6.625,-14.8125,False,False,0,2
4.3059246,0,1,0.0,21,0,0,0,0,0,0,2.71,23.1,139.79,-1.1875,6.8125,-15.1875,False,False,0,2
4.4697899,0,1,0.0,22,0,0,0,0,0,0,2.67,23.14,139.73,-1.5,6.75,-15.5625,False,False,0,2
