t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
8.685833,0,1,0.0,115,0,0,0,0,0,0,0,0,0,-2.4375,16.1875,1.1875,False,False,0,2
8.7358465,0,1,0.0,116,0,0,0,0,0,0,0,0,0,-2.375,16,1.25,False,False,0,2
8.7833561,0,1,0.0,117,0,0,0,0,0,0,0,0,0,-2.625,17.125,1.0625,False,False,0,2
8.8309143,0,1,0.0,118,0,0,0,0,0,0,0,0,0,-2.4375,16.875,1.0625,False,False,0,2
8.8769418,0,1,0.0,119,0,0,0,0,0,0,0,0,0,-2.75,17.6875,0.625,False,False,0,2
8.9225955,0,1,0.0,120,0,0,0,0,0,0,0,0,0,-3.25,16.625,1.0625,False,False,0,2
8.9755627,0,1,0.0,121,0,0,0,0,0,0,0,0,0,-3.25,16.8125,1.25,False,False,0,2
9.0189858,0,1,0.0,122,0,0,0,0,0,0,0,0,0,-0.25,16.0625,3.5,False,False,0,2
9.066338,0,1,0.0,123,0,0,0,0,0,0,0,0,0,-2.5,18.25,-1.5,False,False,0,2
9.122213,0,1,0.0,124,0,0,0,0,0,0,0,0,0,0.125,18,-0.9375,False,False,0,2
9.2230866,0,1,0.0,125,0,0,0,0,0,0,0,0,0,-1.9375,16.25,-1.8125,False,False,0,2
9.2260452,0,1,0.0,126,0,0,0,0,0,0,0,0,0,-1.5625,19.875,-6.0625,False,False,0,2
9.2737604,0,1,0.0,127,0,0,0,0,0,0,0,0,0,0.25,19.625,-2.0625,False,False,0,2
9.3833056,0,1,0.0,128,0,0,0,0,0,0,0,0,0,-0.625,16.6875,-6.25,False,False,0,2
9.3870871,0,1,0.0,129,0,0,0,0,0,0,0,0,0,-0.8125,16.75,-6,False,False,0,2
9.5259158,0,1,0.0,130,0,0,0,0,0,0,0,0,0,-0.4375,16.875,-2.875,False,False,0,2
9.5291345,0,1,0.0,131,0,0,0,0,0,0,0,0,0,-0.3125,13.1875,-5.4375,False,False,0,2
9.6299137,0,1,0.0,132,0,0,0,0,0,0,0,0,0,-0.8125,11.5625,-6.5,False,False,0,2
9.6328072,0,1,0.0,133,0,0,0,0,0,0,0,0,0,-0.1875,11.3125,-7.4375,False,False,0,2
9.6359937,0,1,0.0,134,0,0,0,0,3,0,0,0,0,-1,10.375,-7.0625,False,False,0,2
9.7321398,0,1,0.0,135,0,0,0,0,0,0,0,0,0,-0.3125,11.4375,-8.5625,False,False,0,2
9.7353059,0,1,0.0,136,0,0,0,0,0,0,0,0,0,-0.75,11.0625,-11.8125,False,False,0,2
9.7799685,0,1,0.0,137,0,0,0,0,0,0,0,0,0,0.25,11.1875,-12.125,False,False,0,2
9.8247462,0,1,0.0,138,0,0,0,0,0,0,0,0,0,0,6.375,-13,False,False,0,2
9.8783654,0,1,0.0,139,0,0,0,0,0,0,0,0,0,-0.25,9.3125,-11.8125,False,False,0,2
9.9863456,0,1,0.0,140,0,0,0,0,0,0,0,0,0,-0.0625,10.75,-12.8125,False,False,0,2
9.9893947,0,1,0.0,141,0,0,0,0,0,0,0,0,0,-1.125,11.9375,-13.4375,False,False,0,2
10.0949797,0,1,0.0,142,0,0,0,0,0,0,0,0,0,0.3125,8.3125,-12.875,False,False,0,2
10.0985445,0,1,0.0,143,0,0,0,0,0,0,0,0,0,-0.4375,6.8125,-12.9375,False,False,0,2
10.2047547,0,1,0.0,144,0,0,0,0,0,0,0,0,0,-0.1875,7.9375,-14.125,False,False,0,2
10.2079083,0,1,0.0,145,0,0,0,0,0,0,0,0,0,-1.0625,7.0625,-14.25,False,False,0,2
10.3150946,0,1,0.0,146,0,0,0,0,0,0,0,0,0,0.5625,8.5625,-15.75,False,False,0,2
10.318262,0,1,0.0,147,0,0,0,0,0,0,0,0,0,-0.6875,7.4375,-14.25,False,False,0,2
10.4249216,0,1,0.0,148,0,0,0,0,0,0,0,0,0,-0.3125,8.5625,-14.875,False,False,0,2
10.4282012,0,1,0.0,149,0,0,0,0,0,0,0,0,0,-0.8125,7.5,-14.0625,False,False,0,2
10.4739267,0,1,0.0,150,0,0,0,0,0,0,0,0,0,-1.9375,7.125,-16.0625,False,False,0,2
10.5213637,0,1,0.0,151,0,0,0,0,0,0,0,0,0,-0.625,7.4375,-14.4375,False,False,0,2
10.5243976,0,1,0.0,152,0,0,0,0,0,0,0,0,0,-1,6.75,-15.1875,False,False,0,2
10.5691483,0,1,0.0,153,0,0,0,0,0,0,0,0,0,-1.125,6.5,-15,False,False,0,2
10.6230582,0,1,0.0,154,0,0,0,0,0,0,0,0,0,-0.9375,6.9375,-15.125,False,False,0,2
10.7325618,0,1,0.0,155,0,0,0,0,0,0,0,0,0,-1.875,7.75,-15.0625,False,False,0,2
10.7358114,0,1,0.0,156,0,0,0,0,0,0,0,0,0,-1.6875,6.8125,-14.9375,False,False,0,2
10.8418905,0,1,0.0,157,0,0,0,0,0,0,0,0,0,-1.125,6.75,-15.125,False,False,0,2
10.8454756,0,1,0.0,158,0,0,0,0,0,0,0,0,0,-0.875,6.5,-15.125,False,False,0,2
10.9588538,0,1,4.41,159,0,0,0,0,0,7,0,0,0,-5.4375,7.8125,-10.0625,False,True,0,2
10.9621278,0,1,4.41,160,0,0,0,0,0,0,0,0,0,-0.9375,7,-14.75,False,True,0,2
11.0049087,0,1,4.41,161,0,0,0,0,0,0,0,0,0,-0.625,6.8125,-14.8125,False,True,0,2
11.0080377,0,1,4.41,162,0,0,0,0,0,0,0,0,0,-2,6.4375,-15.625,False,True,0,2
11.0753712,0,1,4.41,163,0,0,0,0,0,0,0,0,0,-1.4375,6.25,-15.5,False,True,0,2
11.1670302,0,1,4.41,164,0,0,0,0,0,0,0,0,0,-1.1875,6.125,-15.5625,False,True,0,2
11.1701296,0,1,4.41,165,0,0,0,0,0,0,0,0,0,-1.125,5.8125,-15.625,False,True,0,2
11.2244652,0,1,4.41,166,0,0,0,0,0,0,0,0,0,-1.125,5.3125,-15.375,False,True,0,2
11.2725887,0,1,4.41,167,0,0,0,0,0,0,0,0,0,-1,4.875,-15.4375,False,True,0,2
11.318573,0,1,4.41,168,0,0,0,0,0,0,0,0,0,-0.875,4.6875,-15.5625,False,True,0,2
11.3741316,0,1,0.0,169,0,0,0,0,0,0,0,0,0,-0.875,4.4375,-16.0625,False,True,0,2
11.4725343,0,1,0.0,170,0,0,0,0,0,0,0,0,0,-0.875,4.5625,-15.4375,False,True,0,2
11.475907,0,1,0.0,171,0,0,0,0,0,0,0,0,0,-0.8125,4.25,-15.5,False,True,0,2
11.5222639,0,1,0.0,172,0,0,0,0,0,0,0,0,0,-0.6875,4.75,-15.3125,False,True,0,2
11.5675407,0,1,0.0,173,0,0,0,0,0,0,0,0,0,-0.9375,4.5625,-15.5,False,True,0,2
11.6134499,0,1,0.0,174,0,0,0,0,0,0,0,0,0,-1.1875,4.625,-16.1875,False,True,0,2
11.675184,0,1,0.0,175,0,0,0,0,0,0,0,0,0,-1.0625,4.9375,-15.4375,False,True,0,2
11.7202332,0,1,0.0,176,0,0,0,0,0,0,0,0,0,-1,4.6875,-16.0625,False,True,0,2
11.7674462,0,1,0.0,177,0,0,0,0,0,0,0,0,0,-1.0625,5,-15.75,False,True,0,2
11.8249829,0,1,0.0,178,0,0,0,0,0,0,0,0,0,-1.1875,5,-15.75,False,True,0,2
11.8756461,0,1,0.0,179,0,0,0,0,0,0,0,0,0,-1.125,4.9375,-15.875,False,True,0,2
11.9219066,0,1,0.0,180,0,0,0,0,0,0,0,0,0,-1.1875,4.75,-15.875,False,True,0,2
11.9750986,0,1,0.0,181,0,0,0,0,0,0,0,0,0,-1.3125,4.875,-15.4375,False,True,0,2
12.0835129,0,1,0.0,182,0,0,0,0,0,0,0,0,0,-1.25,5,-15.4375,False,True,0,2
12.1872881,0,1,0.0,183,0,0,0,0,0,0,0,0,0,-1.5,5.125,-15.75,False,True,0,2
12.190662,0,1,0.0,184,0,0,0,0,0,0,0,0,0,-1.5,5.5,-15.25,False,True,0,2
12.1942953,0,1,0.0,185,0,0,0,0,0,0,0,0,0,-1.5,5.625,-15.4375,False,True,0,2
12.2309572,0,1,0.0,186,0,0,0,0,0,0,0,0,0,-1.5625,5.75,-15.5625,False,True,0,2
12.2774896,0,1,0.0,187,0,0,0,0,0,0,0,0,0,-1.6875,6,-15.5,False,True,0,2
12.322928,0,1,0.0,188,0,0,0,0,0,0,0,0,0,-1.6875,6,-15.4375,False,True,0,2
12.3701835,0,1,0.0,189,0,0,0,0,0,0,0,0,0,-1.75,5.9375,-15.375,False,True,0,2
12.4260829,0,1,0.0,190,0,0,0,0,0,0,0,0,0,-1.875,5.8125,-15.3125,False,True,0,2
12.4757081,0,1,0.0,191,0,0,0,0,0,0,0,0,0,-1.75,5.6875,-15.125,False,True,0,2
12.520728,0,1,0.0,192,0,0,0,0,0,0,0,0,0,-1.9375,5.6875,-15.375,False,True,0,2
12.5762072,0,1,0.0,193,0,0,0,0,0,0,0,0,0,-1.8125,5.875,-15.4375,False,True,0,2
12.685606,0,1,0.0,194,0,0,0,0,0,0,0,0,0,-1.75,5.8125,-15.375,False,True,0,2
12.6888475,0,1,0.0,195,0,0,0,0,0,0,0,0,0,-1.75,5.875,-15.4375,False,True,0,2
12.800033,0,1,0.0,196,0,0,0,0,0,0,0,0,0,-1.5625,5.875,-15.4375,False,True,0,2
12.8034401,0,1,0.0,197,0,0,0,0,0,0,0,0,0,-1.5625,5.6875,-15.375,False,True,0,2
12.8471932,0,1,0.0,198,0,0,0,0,0,0,0,0,0,-1.625,5.5625,-15.125,False,True,0,2
12.894348,0,1,0.0,199,0,0,0,0,0,0,0,0,0,-1.625,5.6875,-15.125,False,False,0,2
12.9397976,0,1,0.0,200,0,0,0,0,0,0,0,0,0,-1.625,5.875,-15.625,False,False,0,2
12.9864483,0,1,0.0,201,0,0,0,0,0,0,0,0,0,-1.625,6,-15.5,False,False,0,2
13.0336706,0,1,0.0,202,0,0,0,0,0,0,0,0,0,-1.625,5.9375,-15.4375,False,False,0,2
13.0790637,0,1,0.0,203,0,0,0,0,0,0,0,0,0,-1.625,5.9375,-15.25,False,False,0,2
13.1259533,0,1,0.0,204,0,0,0,0,0,0,0,0,0,-1.6875,5.9375,-15.25,False,False,0,2
13.1750778,0,1,0.0,205,0,0,0,0,0,0,0,0,0,-1.75,5.9375,-15.3125,False,False,0,2
13.2203689,0,1,0.0,206,0,0,0,0,0,0,0,0,0,-1.8125,5.9375,-15.3125,False,False,0,2
13.2674719,0,1,0.0,207,0,0,0,0,0,0,0,0,0,-1.6875,5.9375,-15.3125,False,False,0,2
13.325828,0,1,0.0,208,0,0,0,0,0,0,0,0,0,-1.75,5.875,-15.1875,False,False,0,2
13.3778419,0,1,0.0,209,0,0,0,0,0,0,0,0,0,-1.625,6.0625,-15.375,False,False,0,2
13.4220944,0,1,0.0,210,0,0,0,0,0,0,0,0,0,-1.5625,6,-15.3125,False,False,0,2
13.475829,0,1,0.0,211,0,0,0,0,0,0,0,0,0,-1.5625,6,-15.25,False,False,0,2
13.5825964,0,1,0.0,212,0,0,0,0,0,0,0,0,0,-1.5625,6.0625,-15.25,False,False,0,2
13.5857534,0,1,0.0,213,0,0,0,0,0,0,0,0,0,-1.5625,6,-15.25,False,False,0,2
13.6918859,0,1,0.0,214,430,315,0,0,0,0,0,0,0,-1.625,6.125,-15.25,False,False,0,2
13.6954672,0,1,0.0,215,0,0,0,0,0,0,0,0,0,-1.625,6.125,-15.1875,False,False,0,2
13.8023545,0,1,0.0,216,0,0,0,0,0,0,0,0,0,-1.625,6.125,-15.25,False,False,0,2
13.8052632,0,1,0.0,217,0,0,0,0,0,0,0,0,0,-1.6875,6.25,-15.3125,False,False,0,2
13.8526224,0,1,0.0,218,0,0,0,0,0,0,0,0,0,-1.5625,6.1875,-15.25,False,False,0,2
13.8555544,0,1,0.0,219,0,0,0,0,0,0,0,0,0,-1.5625,6.25,-15.3125,False,False,0,2
13.9256484,0,1,0.0,220,0,0,0,0,0,0,0,0,0,-1.625,6.25,-15.375,False,False,0,2
14.0283329,0,1,0.0,221,0,0,0,0,0,0,0,0,0,-1.6875,6.375,-15.9375,False,False,0,2
14.0311771,0,1,0.0,222,0,0,0,0,0,0,0,0,0,-1.875,6.125,-15.875,False,False,0,2
14.1340486,0,1,0.0,223,0,0,0,0,0,0,0,0,0,-1.875,5.75,-14.8125,False,False,0,2
14.1369699,0,1,0.0,224,0,0,0,0,0,0,0,0,0,-1.9375,5.4375,-14.125,False,False,0,2
14.2377145,0,1,0.0,225,0,0,0,0,0,0,0,0,0,-1.875,5.6875,-14.5625,False,False,0,2
14.2406063,0,1,0.0,226,0,0,0,0,0,0,0,0,0,-1.9375,6.3125,-15.375,False,False,0,2
14.2833434,0,1,0.0,227,0,0,0,0,0,0,0,0,0,-1.9375,6.5625,-16,False,False,0,2
14.3323629,0,1,0.0,228,0,0,0,0,0,0,0,0,0,-2.125,6.25,-15.75,False,False,0,2
14.3868884,0,1,0.0,229,0,0,0,0,0,0,0,0,0,-1.9375,5.75,-14.8125,False,False,0,2
14.4945156,0,1,0.0,230,0,0,0,0,0,0,0,0,0,-1.875,5.5625,-14.4375,False,False,0,2
14.4972421,0,1,0.0,231,0,0,0,0,0,0,0,0,0,-1.875,5.875,-14.6875,False,False,0,2
14.6016247,0,1,0.0,232,0,0,0,0,0,0,0,0,0,-2.0625,6.3125,-15.25,False,False,0,2
14.6042965,0,1,0.0,233,0,0,0,0,0,0,0,0,0,-1.9375,6.5625,-15.5,False,False,0,2
14.6069423,0,1,0.0,234,0,0,0,0,0,0,0,0,0,-1.75,6.5625,-15.25,False,False,0,2
14.710978,0,1,0.0,235,0,0,0,0,0,0,0,0,0,-1.5625,6.6875,-15.0625,False,False,0,2
14.8207579,0,1,0.0,236,0,0,0,0,0,0,0,0,0,-1.5,6.75,-15.0625,False,False,0,2
14.8239266,0,1,0.0,237,0,0,0,0,0,0,0,0,0,-1.6875,6.625,-15.1875,False,False,0,2
14.9295459,0,1,0.0,238,0,0,0,0,0,0,0,0,0,-1.875,6.75,-15.3125,False,False,0,2
14.9326956,0,1,0.0,239,180,49,0,0,0,0,0,0,0,-1.8125,6.5625,-14.9375,False,False,0,2
14.9363386,0,1,0.0,240,0,0,0,0,0,0,0,0,0,-1.8125,6.6875,-14.875,False,False,0,2
14.9833938,0,1,0.0,241,0,0,0,0,0,0,0,0,0,-1.875,6.5625,-15.125,False,False,0,2
15.046606,0,1,0.0,242,0,0,0,0,0,0,0,0,0,-2.0625,6.6875,-15.125,False,False,0,2
15.1552402,0,1,0.0,243,0,0,0,0,0,0,0,0,0,-1.9375,6.5625,-15.25,False,False,0,2
15.1582641,0,1,0.0,244,0,0,3,0,0,0,0,0,0,-1.875,6.4375,-15.3125,False,False,0,2
15.1985124,0,1,0.0,245,0,0,0,0,0,0,0,0,0,-2,6.3125,-15.5,False,False,0,2
15.2014774,0,1,0.0,246,0,0,0,0,0,0,0,0,0,-2,6.125,-15.375,False,False,0,2
15.2758984,0,1,0.0,247,0,0,0,0,0,0,0,0,0,-1.9375,5.9375,-15.25,False,False,0,2
15.3268494,0,1,0.0,248,0,0,0,0,0,0,0,0,0,-2,5.75,-14.9375,False,False,0,2
15.3686445,0,1,0.0,249,100,96,0,0,0,0,0,0,0,-1.625,5.75,-14.3125,False,False,0,2
15.4253444,0,1,0.0,250,0,0,0,0,0,0,0,0,0,-1.375,5.875,-14.5,False,False,0,2
15.4791059,0,1,0.0,251,0,0,0,0,0,0,0,0,0,-1.3125,6.5,-14.9375,False,False,0,2
15.5306855,0,1,0.0,252,0,0,0,0,0,0,0,0,0,-1.375,6.875,-15.4375,False,False,0,2
15.6387818,0,1,0.0,253,0,0,0,0,0,0,0,0,0,-1.5,7,-15.1875,False,False,0,2
15.641669,0,1,0.0,254,0,0,0,0,0,0,0,0,0,-1.5,6.9375,-14.8125,False,False,0,2
15.7483376,0,1,0.0,255,0,0,0,0,0,0,0,0,0,-1.625,6.9375,-14.8125,False,False,0,2
15.751459,0,1,0.0,0,0,0,0,0,0,0,0,0,0,-1.8125,7,-15.25,False,False,0,2
15.85819,0,1,0.0,1,0,0,0,0,0,0,0,0,0,-2.0625,7,-15.125,False,False,0,2
15.8611403,0,1,0.0,2,0,0,0,0,0,0,0,0,0,-1.9375,6.9375,-15.125,False,False,0,2
15.975394,0,1,0.0,3,0,0,0,0,0,0,0,0,0,-1.5625,6.875,-15,False,False,0,2
15.978578,0,1,0.0,4,0,0,0,0,0,0,0,0,0,-0.9375,6.875,-15,False,False,0,2
15.9816887,0,1,0.0,5,0,0,0,0,0,0,0,0,0,-0.1875,6.625,-14.5,False,False,0,2
16.0237484,0,1,0.0,6,0,0,0,0,0,0,0,0,0,-1.3125,6.4375,-14.6875,False,False,0,2
16.0674213,0,1,0.0,7,0,0,0,0,0,0,0,0,0,-1.5625,6.75,-14.25,False,False,0,2
16.115479,0,1,0.0,8,0,0,5,0,0,0,0,0,0,-1.1875,7.1875,-14.375,False,False,0,2
16.1752941,0,1,0.0,9,0,0,0,0,0,0,0,0,0,-1.5625,7.8125,-15.375,False,False,0,2
16.2219251,0,1,0.0,10,0,0,0,0,0,0,0,0,0,-1.75,7.6875,-15.4375,False,False,0,2
16.2715488,0,1,0.0,11,0,0,0,0,0,0,0,0,0,-1.6875,7.625,-15.0625,False,False,0,2
16.3264507,0,1,0.0,12,0,0,0,0,0,0,0,0,0,-1.3125,7.125,-15.125,False,False,0,2
16.434253,0,1,0.0,13,0,0,0,0,0,0,0,0,0,-1.0625,6.75,-14.8125,False,False,0,2
16.4373389,0,1,0.0,14,0,0,0,0,0,0,0,0,0,-1.4375,6.5625,-14.5625,False,False,0,2
16.5421263,0,1,0.0,15,0,0,0,0,0,0,0,0,0,-2,6.6875,-14.375,False,False,0,2
16.5450878,0,1,0.0,16,0,0,0,0,0,0,0,0,0,-2.125,7,-14.375,False,False,0,2
16.650122,0,1,0.0,17,0,0,0,0,0,0,0,0,0,-2,7,-15,False,False,0,2
16.6533479,0,1,0.0,18,0,0,5,0,0,0,0,0,0,-1.875,7.0625,-14.875,False,False,0,2
16.7603558,0,1,0.0,19,0,0,0,0,0,0,0,0,0,-1.625,6.875,-15.25,False,False,0,2
16.7631952,0,1,0.0,20,0,0,0,0,0,0,0,0,0,-1.875,6.6875,-14.4375,False,False,0,2
16.8683377,0,1,0.0,21,0,0,0,0,0,0,0,0,0,-2.375,6.875,-14.1875,False,False,0,2
16.8712871,0,1,0.0,22,0,0,0,0,0,0,0,0,0,-2.625,7.1875,-14.6875,False,False,0,2
16.8742265,0,1,0.0,23,0,0,0,0,3,0,0,0,0,-2.5625,7.3125,-14.875,False,False,0,2
16.976587,0,1,0.0,24,0,0,0,0,0,0,0,0,0,-2.25,7.375,-14.8125,False,False,0,2
16.9793086,0,1,0.0,25,0,0,0,0,0,0,0,0,0,-2.3125,7.4375,-14.6875,False,False,0,2
17.0835614,0,1,0.0,26,0,0,0,0,0,0,0,0,0,-2.3125,7.375,-14.375,False,False,0,2
17.0865041,0,1,0.0,27,0,0,0,0,0,0,0,0,0,-2.5,7.5625,-14.5625,False,False,0,2
17.2024022,0,1,0.0,28,80,38,0,5,0,0,0,0,0,-2.6875,7.5625,-14.4375,False,False,0,2
17.2052164,0,1,0.0,29,0,0,0,0,0,0,0,0,0,-3,7.625,-14.4375,False,False,0,2
17.2482739,0,1,0.0,30,0,0,0,0,0,0,0,0,0,-3.0625,7.5625,-14.5,False,False,0,2
17.2986121,0,1,0.0,31,0,0,0,0,0,0,0,0,0,-3.1875,7.6875,-14.6875,False,False,0,2
17.3446155,0,1,0.0,32,0,0,0,0,0,0,0,0,0,-3.1875,7.6875,-15.0625,False,False,0,2
17.3910297,0,1,0.0,33,0,0,0,0,0,0,0,0,0,-2.5,7.25,-15,False,False,0,2
17.4352023,0,1,0.0,34,0,0,0,0,0,0,0,0,0,-1.3125,6.8125,-14.75,False,False,0,2
17.4807626,0,1,0.0,35,0,0,0,0,0,0,0,0,0,-0.0625,6.5625,-14.875,False,False,0,2
17.5290357,0,1,0.0,36,0,0,0,0,0,0,0,0,0,0.25,6.6875,-15.125,False,False,0,2
17.5780229,0,1,0.0,37,0,0,0,0,0,0,0,0,0,0.0625,6.75,-15.125,False,False,0,2
17.6231576,0,1,0.0,38,0,0,0,0,0,0,0,0,0,-0.375,6.5625,-15.1875,False,False,0,2
17.6759119,0,1,0.0,39,0,0,0,0,0,0,0,0,0,-0.6875,6.5625,-14.875,False,False,0,2
17.783598,0,1,0.0,40,0,0,0,0,0,0,0,0,0,-0.625,6.375,-14.9375,False,False,0,2
17.7868015,0,1,0.0,41,0,0,0,0,0,0,0,0,0,-0.625,6.5625,-15.0625,False,False,0,2
17.8959669,0,1,0.0,42,0,0,0,0,0,0,0,0,0,-0.9375,6.8125,-15.125,False,False,0,2
17.8987715,0,1,0.0,43,0,0,0,0,0,0,0,0,0,-1.25,6.75,-14.9375,False,False,0,2
17.9445984,0,1,0.0,44,0,0,0,0,0,0,0,0,0,-1.375,6.6875,-15,False,False,0,2
17.9909892,0,1,0.0,45,0,0,0,0,0,0,0,0,0,-1.4375,6.6875,-14.8125,False,False,0,2
18.0423825,0,1,0.0,46,0,0,0,0,0,0,0,0,0,-1.5625,6.75,-14.875,False,False,0,2
18.1164096,0,1,0.0,47,0,0,0,0,0,0,0,0,0,-1.75,6.875,-15,False,False,0,2
18.1611852,0,1,0.81,48,0,0,0,0,0,3,0,0,0,-1.9375,6.9375,-15.125,False,False,0,2
18.1648364,0,1,0.81,49,0,0,0,0,0,0,0,0,0,-2.0625,6.875,-15.125,False,False,0,2
18.2083029,0,1,0.81,50,0,0,0,0,0,0,0,0,0,-2.0625,6.8125,-14.9375,False,False,0,2
18.2753968,0,1,0.81,51,0,0,0,0,0,0,0,0,0,-2,6.75,-14.8125,False,False,0,2
18.3843749,0,1,0.81,52,0,0,0,0,0,0,0,0,0,-1.8125,6.75,-15,False,False,0,2
18.3874506,0,1,0.81,53,0,0,0,5,0,0,0,0,0,-1.625,6.6875,-15.0625,False,False,0,2
