t,book_no,page_right,page_eff,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
1.0367112999999994,1,54,False,144,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4,False,True,0,2
1.1477429999999993,1,54,False,145,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.125,False,True,0,2
1.2907550999999993,1,54,False,146,0,0,0,0,0,0,0,0,0,1.625,15.5,-4.125,False,True,0,2
1.2931330999999995,1,54,False,147,0,0,0,0,0,0,0,0,0,1.5,15.625,-4.0625,False,True,0,2
1.2955259999999997,1,54,False,148,0,0,0,0,0,0,0,0,0,1.5625,15.625,-4,False,True,0,2
1.3959669999999997,1,54,False,149,0,0,0,0,0,0,0,0,0,1.5625,15.625,-4,False,True,0,2
1.3983591999999998,1,54,False,150,0,0,0,0,0,0,0,0,0,1.625,15.5625,-4.0625,False,True,0,2
1.4008186,1,54,False,151,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.0625,False,True,0,2
1.4939507,1,54,False,152,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4,False,True,0,2
1.4962741999999993,1,54,False,153,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4.0625,False,True,0,2
1.5450492999999996,1,54,False,154,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4,False,True,0,2
1.6560198999999995,1,54,False,155,0,0,0,0,0,0,0,0,0,1.625,15.625,-4,False,True,0,2
1.6583322999999996,1,54,False,156,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.0625,False,True,0,2
1.7027839999999994,1,54,False,157,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4,False,True,0,2
1.8078319,1,54,False,158,0,0,0,0,0,0,0,0,0,1.5625,15.625,-4.0625,False,True,0,2
1.8102817999999994,1,54,False,159,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4,False,True,0,2
1.9035491999999996,1,54,False,160,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4.0625,False,True,0,2
1.9056280999999995,1,54,False,161,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.0625,False,True,0,2
1.9492892,1,54,False,162,0,0,0,0,0,0,0,0,0,1.625,15.5625,-4,False,True,0,2
1.9977738999999994,1,54,False,163,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4.0625,False,True,0,2
2.0481935,1,54,False,164,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4,False,True,0,2
2.1255423999999996,1,54,False,165,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.0625,False,True,0,2
2.1274549,1,54,False,166,0,0,0,0,0,0,0,0,0,1.5,15.625,-4,False,True,0,2
2.2022812,1,54,False,167,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-3.9375,False,True,0,2
2.2643803999999994,1,54,False,168,0,0,0,0,0,0,0,0,0,1.5625,15.625,-4,False,True,0,2
2.3210907,1,54,False,169,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4.0625,False,True,0,2
2.366174,1,54,False,170,0,0,0,0,0,0,0,0,0,1.5,15.625,-4.0625,False,True,0,2
2.4245598,1,54,False,171,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.0625,False,True,0,2
2.515548,1,54,False,172,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4.0625,False,True,0,2
2.5181464,1,54,False,173,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.125,False,True,0,2
2.6292614999999993,1,54,False,174,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.0625,False,True,1,2
2.6315919999999995,1,54,False,175,0,0,0,0,0,0,0,0,0,1.5625,15.625,-4.0625,False,True,1,2
2.6805622,1,54,False,176,0,0,0,0,0,0,0,0,0,1.5625,15.625,-4.125,False,True,1,2
2.7915447999999996,1,54,False,177,0,0,0,0,0,0,0,0,0,1.625,15.5,-4,False,True,1,2
2.7940584,1,54,False,178,0,0,0,0,0,0,0,0,0,1.5625,15.5,-4,False,True,1,2
2.9055915,1,54,False,179,0,0,3,0,0,0,0,0,0,1.5625,15.5625,-4.125,False,True,1,2
2.9077883999999994,1,54,False,180,0,0,0,0,0,0,0,0,0,1.5625,15.625,-4.1875,False,True,1,2
2.9100645999999992,1,54,False,181,0,0,0,0,0,0,0,0,0,1.4375,15.6875,-4,False,True,1,2
3.0076925999999995,1,54,False,182,0,0,0,0,0,0,0,0,0,1.5625,15.625,-4.125,False,True,1,2
3.0099899999999993,1,54,False,183,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.125,False,True,1,2
3.0533403999999997,1,54,False,184,0,0,0,0,0,0,0,0,0,1.5625,15.5,-3.9375,False,True,1,2
3.1012604999999995,1,54,False,185,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.0625,False,True,1,2
3.2134193999999994,1,54,False,186,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4.0625,False,True,1,2
3.2155847,1,54,False,187,0,0,0,0,0,0,0,0,0,1.5,15.5625,-4,False,True,1,2
3.3232260999999994,1,54,False,188,0,0,0,0,0,0,0,0,0,1.5625,15.5625,-4,False,True,1,2
3.325456,1,54,False,189,0,0,0,0,0,0,0,0,0,1.625,15.5625,-4.0625,False,True,1,2
3.4408575999999993,1,54,False,190,0,0,0,0,0,0,0,0,0,1.5,15.625,-4.0625,False,True,1,2
