t,book_no,page_right,page_eff,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
2.5726679000000003,1,55,False,85,0,0,0,0,0,0,0,0,0,-2.3125,15.625,-3.8125,False,True,0,3
2.6300941000000004,1,55,False,86,0,0,0,0,0,0,0,0,0,-2.1875,15.6875,-3.8125,False,True,0,3
2.6325787000000003,1,55,False,87,0,0,0,0,0,0,0,0,0,-2.25,15.625,-3.8125,False,True,0,3
2.7656019000000005,1,55,False,88,0,0,0,0,0,0,0,0,0,-2.1875,15.625,-3.8125,False,True,0,3
2.7681441,1,55,False,89,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
2.779746,1,55,False,90,0,0,0,0,0,0,0,0,0,-2.25,15.625,-3.8125,False,True,0,3
2.8174877000000005,1,55,False,91,0,0,0,0,0,0,0,0,0,-2.25,15.625,-3.8125,False,True,0,3
2.8676995,1,55,False,92,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
2.9745700999999998,1,55,False,93,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
2.9768956,1,55,False,94,0,0,0,0,0,0,0,0,0,-2.25,15.625,-3.875,False,True,0,3
3.0333053,1,55,False,95,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
3.1837509,1,55,False,96,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
3.1860353,1,55,False,97,0,0,0,0,0,0,0,0,0,-2.3125,15.5625,-3.875,False,True,0,3
3.1885994000000006,1,55,False,98,0,0,0,0,0,0,0,0,0,-2.3125,15.625,-3.8125,False,True,0,3
3.2452141000000005,1,55,False,99,0,0,0,0,0,0,0,0,0,-2.3125,15.5625,-3.8125,False,True,0,3
3.2476231000000007,1,55,False,100,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
3.3802748,1,55,False,101,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
3.3829232,1,55,False,102,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
3.4306854,1,55,False,103,0,0,0,0,0,0,0,0,0,-2.1875,15.5625,-3.8125,False,True,0,3
3.4328147,1,55,False,104,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
3.5864468000000005,1,55,False,105,0,0,0,0,0,0,0,0,0,-2.25,15.625,-3.875,False,True,0,3
3.6596433999999998,1,55,False,106,0,0,0,0,0,0,0,0,0,-2.25,15.625,-3.8125,False,True,0,3
3.6619498,1,55,False,107,0,0,0,0,0,0,0,0,0,-2.3125,15.6875,-3.8125,False,True,0,3
3.8018830000000006,1,55,False,108,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
3.8042354,1,55,False,109,0,0,0,0,0,0,0,0,0,-2.25,15.625,-3.875,False,True,0,3
3.8062449,1,55,False,110,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.875,False,True,0,3
3.8505297000000005,1,55,False,111,0,0,0,0,0,0,0,0,0,-2.25,15.5625,-3.8125,False,True,0,3
3.9102493,1,55,False,112,0,0,0,0,0,0,0,0,0,-2.25,15.625,-3.875,False,True,0,3
3.9127021,1,55,False,113,0,0,0,0,0,0,0,0,0,-2.3125,15.5625,-3.8125,False,True,0,3
4.083587700000001,1,55,False,114,0,0,0,0,0,0,0,0,0,4.0625,16,-5.1875,False,True,0,3
4.086117100000001,1,55,False,115,0,0,0,0,0,0,0,0,0,-11.25,13.0625,-1.1875,False,True,0,3
4.088680399999999,1,55,False,116,0,0,0,0,0,0,0,0,0,-9.4375,17.0625,-4.4375,False,True,0,3
4.252205700000001,1,55,False,117,0,0,0,0,0,0,0,0,0,-11.5,17.5,-3.25,False,True,0,3
4.254641599999999,1,55,False,118,0,0,0,0,0,0,0,0,0,-7.0625,21,12.9375,False,True,0,3
4.2570137,1,55,False,119,0,0,0,0,0,0,0,0,0,-5.5,20.25,-5.1875,False,True,0,3
4.2593236999999995,1,55,False,120,0,0,0,0,0,0,0,0,0,-5.625,19.3125,-1.0625,False,True,0,3
4.417594900000001,1,55,False,121,0,0,0,0,0,0,0,0,0,-5.75,15.375,3,False,True,0,3
4.4199252,1,55,False,122,0,0,0,0,0,0,0,0,0,-4.625,13.8125,0.375,False,True,0,3
4.422357100000001,1,55,False,123,0,0,0,0,0,0,0,0,0,-1.375,11.375,-3.4375,False,True,0,3
4.467783300000001,1,55,False,124,0,0,0,0,0,0,0,0,0,-3.4375,10.3125,-2.125,False,True,0,3
4.5193464,1,55,False,125,0,0,0,0,0,0,0,0,0,-1.875,11.5,-4.5,False,True,0,3
4.639024600000001,1,55,False,126,0,0,0,0,0,0,0,0,0,-4.25,12.25,-5.9375,False,True,0,3
4.641496,1,55,False,127,0,0,0,0,0,0,0,0,0,-5.4375,13.0625,-5.875,False,True,0,3
4.643945,1,55,False,128,0,0,0,0,0,0,0,0,0,-4,13.625,-5.9375,False,True,0,3
4.808066800000001,1,55,False,129,0,0,0,0,0,0,0,0,0,-5.0625,15.0625,-6.375,False,True,0,3
4.8103201,1,55,False,130,0,0,0,0,0,0,0,0,0,-4.9375,15.75,-6.8125,False,True,0,3
4.8124631,1,55,False,131,0,0,0,0,0,0,0,0,0,1.75,19.875,-17.25,False,True,0,3
4.974835199999999,1,55,False,132,0,0,0,0,0,0,0,0,0,-7.625,11,-2.3125,False,True,0,3
4.9772383,1,55,False,133,0,0,0,0,0,0,0,0,0,-1.75,15.875,-4,True,True,0,3
