t,book_no,page_right,dispersion,sequenceNumber,blinkSpeed,blinkStrength,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,roll,pitch,yaw,accX,accY,accZ,walking,noiseStatus,fitError,powerLeft
4.9151513,0,1,0.0,132,0,0,0,0,0,0,4.89,25.45,301.24,-1.8125,7.3125,-14.75,False,False,0,2
5.0726158,0,1,0.0,133,0,0,0,0,0,0,4.88,25.19,301.48,-1.8125,7.25,-14.9375,False,False,0,2
5.0858473,0,1,0.0,134,0,0,0,0,0,0,4.86,24.92,301.66,-1.8125,7.1875,-14.9375,False,False,0,2
5.0881418,0,1,0.0,135,0,0,0,0,0,0,4.85,24.61,301.83,-1.8125,7.0625,-14.8125,False,False,0,2
5.239958,0,1,0.0,136,0,0,0,0,0,0,4.81,24.32,302,-1.875,7,-15,False,False,0,2
5.2420648,0,1,0.0,137,0,0,0,0,0,0,4.8,23.98,302.23,-1.875,6.875,-14.9375,False,False,0,2
5.2440003,0,1,0.0,138,0,0,0,0,1,0,4.83,23.65,302.5,-1.75,6.75,-14.8125,False,False,0,2
5.3337782,0,1,0.0,139,0,0,0,0,0,0,4.84,23.44,302.7,-1.6875,6.75,-14.875,False,False,0,2
5.3360411,0,1,0.0,140,0,0,0,0,0,0,4.8,23.38,302.75,-1.875,6.75,-15,False,False,0,2
5.4665551,0,1,0.0,141,0,0,0,0,0,0,4.78,23.39,302.73,-1.875,6.75,-15,False,False,0,2
5.4696233,0,1,0.0,142,0,0,0,0,0,0,4.78,23.43,302.72,-1.9375,6.8125,-14.875,False,False,0,2
5.6337096,0,1,0.0,143,0,0,0,1,0,0,4.82,23.52,302.68,-1.9375,6.8125,-15,False,False,0,2
5.6355841,0,1,0.0,144,0,0,0,0,0,0,4.8,23.69,302.64,-1.875,6.875,-15,False,False,0,2
5.6376899,0,1,0.0,145,0,0,0,0,0,0,4.74,23.94,302.55,-1.875,6.9375,-14.625,False,False,0,2
5.6396544,0,1,0.0,146,0,0,0,0,0,0,4.66,24.32,302.46,-1.8125,7,-14.9375,False,False,0,2
5.7949966,0,1,0.0,147,0,0,0,0,0,0,4.63,24.71,302.38,-1.875,7.125,-15.125,False,False,0,2
5.7972261,0,1,0.0,148,0,0,0,0,0,0,4.62,24.92,302.3,-1.9375,7.3125,-15.0625,False,False,0,2
5.7990844,0,1,0.0,149,0,0,0,0,0,0,4.6,24.94,302.3,-1.9375,7.3125,-14.875,False,False,0,2
5.9630953,0,1,0.0,150,0,0,0,0,0,0,4.59,24.93,302.35,-1.8125,7.25,-15,False,False,0,2
5.9655909,0,1,0.0,151,0,0,0,0,0,0,4.54,24.86,302.42,-1.8125,7.1875,-14.875,False,False,0,2
5.9674348,0,1,0.0,152,0,0,0,0,0,0,4.47,24.76,302.5,-1.8125,7.125,-14.875,False,False,0,2
6.0109166,0,1,0.0,153,0,0,0,0,0,0,4.4,24.68,302.61,-1.75,7.125,-14.875,False,False,0,2
6.1859071,0,1,0.0,154,0,0,0,0,0,0,4.36,24.62,302.72,-1.6875,7.125,-15,False,False,0,2
6.1878877,0,1,0.0,155,0,0,0,0,0,0,4.34,24.53,302.81,-1.75,7.0625,-15,False,False,0,2
6.1898121,0,1,0.0,156,0,0,0,0,0,0,4.32,24.44,302.85,-1.75,7.0625,-14.9375,False,False,0,2
6.352645,0,1,0.0,157,0,0,0,0,0,0,4.31,24.36,302.86,-1.75,7.0625,-14.9375,False,False,0,2
6.3547791,0,1,0.0,158,0,0,2,0,0,0,4.3,24.28,302.89,-1.75,7,-14.9375,False,False,0,2
6.3571122,0,1,0.0,159,0,0,0,0,0,0,4.27,24.2,302.92,-1.8125,7,-14.875,False,False,0,2
